,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,eval/train_f1,eval/valid_f1,eval/test_f1,eval/expert_f1,eval/train_auprc,eval/valid_auprc,eval/test_auprc,eval/expert_auprc,eval/train_r_precision,eval/valid_r_precision,eval/test_r_precision,eval/expert_r_precision,_timestamp
45,iterate_naive-strict,valid_f1,0.27874717845039176,0.47216593554189623,0.4272513080509641,0.3975404773080779,0.6897703566122175,0.564173310039223,0.4641597759405104,0.39989261864025183,0.8896502214812503,0.7178882674107411,0.6026842978355372,0.6713384317980995,0.7845927000859139,0.7948318769517155,0.7421981967568323,0.5878387545563812,20250408 08:36:38
46,iterate_naive-strict,valid_f1,0.3035497706529506,0.4517107724849027,0.5223549558103172,0.3419481099623991,0.23231169007428876,0.3137362438926424,0.24460873309201617,0.2110350665649797,0.5858059747300255,0.4678001085934275,0.41873369015963935,0.4998681501679166,0.26159785098367205,0.4951972680462908,0.38120379057670867,0.33107835700337174,20250408 08:43:48
47,curriculum_naive-strict,valid_f1,0.3942386233809861,0.3558793408717596,0.4249820759722012,0.39154082453201694,0.37532867426540967,0.47093083428653154,0.3816471443702124,0.3272425225940255,0.5740712977238464,0.5156122155002767,0.4619877692986297,0.5259968413382567,0.5957969669718362,0.8476382880664226,0.7664554664532346,0.5723106493157308,20250408 09:13:43
48,iterate_naive-strict,valid_f1,0.21394620155539087,0.4583361847733813,0.485182384649069,0.4287843076196806,0.7203713366986929,0.5523345544533454,0.4306369064245474,0.3622633772569971,0.9132112507146966,0.7242166800336336,0.5821946724850818,0.6567044075067106,0.7541103717287404,0.7233509576036028,0.6434537127435616,0.4947035916227204,20250408 09:33:51
51,iterate_naive-strict,valid_f1,0.2803942468072326,0.4622692730921139,0.5251159005113611,0.43944582040920566,0.6913433142818708,0.5513756022122163,0.42880679856537873,0.3800819353360213,0.8954301176228638,0.708739565075014,0.6069942235481758,0.6774590792891035,0.7592003992751294,0.7575044452771011,0.6830685152661912,0.5478414540873556,20250408 13:07:05
54,iterate_naive-loose,valid_f1,0.1465630907431655,0.4265588079039496,0.5113428761541418,0.4365762678635075,0.771593730962001,0.5669802782580231,0.43338813202058385,0.35983393690936405,0.9590079792995826,0.7295105397254407,0.622957835781564,0.6616434796944778,0.8027098079740785,0.7697682101778989,0.6537270752856039,0.5046510554991522,20250408 14:01:29
55,iterate_naive-loose,valid_f1,0.18170962940320584,0.33812765409279716,0.39254459205312264,0.3945038038540108,0.7427473508015539,0.485944513325321,0.39401007408059785,0.3498767730267964,0.7072464075975127,0.5157853921565468,0.43734226266586174,0.5024367708943569,0.9735621894355072,0.9084313725490196,0.8767708333333333,0.64,20250408 14:48:00
56,curriculum_naive-loose,valid_f1,0.31496703198925846,0.3512656145669174,0.4270172697672504,0.3977892010095481,0.5488948098618739,0.4732658325413705,0.3826922906071423,0.334741716347801,0.6415025809998098,0.5264297621479889,0.4671858496836025,0.5158541239286611,0.7730865663019583,0.8520606931821965,0.7688463119578691,0.5911105731967867,20250408 15:46:09
57,iterate_naive-loose,valid_f1,0.20810853504122967,0.41966907731579695,0.5024370971085979,0.4432651518160936,0.7262822976033616,0.5745358106154823,0.450290959604586,0.36539653205285455,0.9173060627443574,0.7342364119246125,0.6211683500961297,0.6546803353352176,0.7765178238970865,0.7805772917941557,0.7034807900547672,0.5343549478087025,20250408 16:06:50
60,cnc_highlighter_inference,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,0.15151690114982247,0.17489680448924796,0.14564317206125493,0.1340227869770754,0.4267019032362062,0.4443769830251284,0.3709777994396634,0.4585581085366948,0.391494834257951,0.4308146052435859,0.474526830033265,0.2735487788654572,20250408 19:19:30
